# Short-name dictionary deletions from link validation
# Format: horse_name  # reason  url
# Remove lines you want to keep before running bulk_delete.py

abc  # not_found  https://www.pedigreequery.com/abc2
add  # not_found  https://www.pedigreequery.com/add2
aei  # not_found  https://www.pedigreequery.com/aei2
ag  # not_found  https://www.pedigreequery.com/ag18
all  # not_found  https://www.pedigreequery.com/all2
an  # degenerate  https://www.pedigreequery.com/an+15
arv  # not_found  https://www.pedigreequery.com/arv2
arz  # not_found  https://www.pedigreequery.com/arz2
avo  # degenerate  https://www.pedigreequery.com/avo2
baj  # not_found  https://www.pedigreequery.com/baj2
ber  # not_found  https://www.pedigreequery.com/ber2
bet  # not_found  https://www.pedigreequery.com/bet2
bib  # degenerate  https://www.pedigreequery.com/bib2
bic  # not_found  https://www.pedigreequery.com/bic2
bnz  # not_found  https://www.pedigreequery.com/bnz2
boz  # not_found  https://www.pedigreequery.com/boz2
bq  # not_found  https://www.pedigreequery.com/bq2015
bt  # not_found  https://www.pedigreequery.com/bt+2
cd  # not_found  https://www.pedigreequery.com/cd14
cem  # not_found  https://www.pedigreequery.com/cem2
chc  # not_found  https://www.pedigreequery.com/chc2
coa  # degenerate  https://www.pedigreequery.com/coa2
de  # degenerate  https://www.pedigreequery.com/de+433+330071004
div  # degenerate  https://www.pedigreequery.com/div001
doy  # degenerate  https://www.pedigreequery.com/doy2
edr  # not_found  https://www.pedigreequery.com/edr10
ema  # degenerate  https://www.pedigreequery.com/ema2
ena  # degenerate  https://www.pedigreequery.com/ena10
enc  # not_found  https://www.pedigreequery.com/enc+2
ess  # not_found  https://www.pedigreequery.com/ess2
fir  # not_found  https://www.pedigreequery.com/fir2
gej  # not_found  https://www.pedigreequery.com/gej2
haj  # degenerate  https://www.pedigreequery.com/haj2
hek  # degenerate  https://www.pedigreequery.com/hek2
hga  # not_found  https://www.pedigreequery.com/hga2
hie  # not_found  https://www.pedigreequery.com/hie2
hip  # not_found  https://www.pedigreequery.com/hip+2
hp  # not_found  https://www.pedigreequery.com/h157p
iam  # not_found  https://www.pedigreequery.com/iam2
iga  # not_found  https://www.pedigreequery.com/iga2
ira  # degenerate  https://www.pedigreequery.com/ira10
ire  # not_found  https://www.pedigreequery.com/ire+2
isi  # not_found  https://www.pedigreequery.com/isi2
jum  # not_found  https://www.pedigreequery.com/jum2
kk  # not_found  https://www.pedigreequery.com/kk10
kkk  # not_found  https://www.pedigreequery.com/kkk10
l p  # not_found  https://www.pedigreequery.com/l+p+5
la  # degenerate  https://www.pedigreequery.com/la+15
les  # degenerate  https://www.pedigreequery.com/les2
lua  # degenerate  https://www.pedigreequery.com/lua2
lug  # not_found  https://www.pedigreequery.com/lug3
mae  # not_found  https://www.pedigreequery.com/mae+3
mlz  # not_found  https://www.pedigreequery.com/mlz2
mob  # degenerate  https://www.pedigreequery.com/mob2
mt  # not_found  https://www.pedigreequery.com/mt+2
naz  # degenerate  https://www.pedigreequery.com/naz2
oja  # not_found  https://www.pedigreequery.com/oja2
our  # degenerate  https://www.pedigreequery.com/our2
pai  # degenerate  https://www.pedigreequery.com/pa8i3
pmu  # not_found  https://www.pedigreequery.com/pmu2
poe  # not_found  https://www.pedigreequery.com/poe2
ppt  # not_found  https://www.pedigreequery.com/ppt2
pro  # not_found  https://www.pedigreequery.com/pro2
qui  # not_found  https://www.pedigreequery.com/qui2
ras  # degenerate  https://www.pedigreequery.com/ras2
sav  # not_found  https://www.pedigreequery.com/sav2
sdw  # not_found  https://www.pedigreequery.com/sdw+8+0
shh  # not_found  https://www.pedigreequery.com/shh2
sod  # not_found  https://www.pedigreequery.com/sod2
sor  # degenerate  https://www.pedigreequery.com/sor2
sul  # not_found  https://www.pedigreequery.com/sul2
swe  # not_found  https://www.pedigreequery.com/swe10001967
tbd  # not_found  https://www.pedigreequery.com/tbd+2015
uae  # not_found  https://www.pedigreequery.com/uae+14949
upa  # not_found  https://www.pedigreequery.com/upa2
v c  # not_found  https://www.pedigreequery.com/v+c2
vas  # not_found  https://www.pedigreequery.com/vas2
vet  # not_found  https://www.pedigreequery.com/vet2
wah  # not_found  https://www.pedigreequery.com/wah2
yum  # not_found  https://www.pedigreequery.com/yum2
zak  # not_found  https://www.pedigreequery.com/zak2
